drep,vote,amount
drep1gm78qa2895ynwn4ekdxl678d5qq9cnfarvcxh6d37fhsy50j9vl,yes,70677929783
drep1exw7u2wgr5f8juxzetejeudzc7d0wt47f0n07r348e07xn8s58j,yes,444258127873
drep1duf9wj2007jp8zd2k2khq69ppykwq68zsp8vksselwaj5nvnr3n,no,19732799323701
drep1g0g4ntlgxfnanvtqaa405y3ruszqyfhx46snptktzwg8xvtce0u,no,10835294959132
drep160v90f47eeqscq9aglzh8qxv8plskgxjtj9qgplgsz0kwskskjs,yes,1078816388882
drep1c6vahku876gmjqxtwhazf8qd3jjs4pwp4g8mkcmrfy5x67th9gu,yes,2555188355096
drep1j4llv3mhppzqvu39xzfwj6p26rysc5fd3nqzrpefly3vx3ya34a,yes,287977778336
drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,no,9402135240692
drep1gr4upcx238vns9gmlvc22sr6c2kse35hxww5n2pw86gcw6a39dg,yes,999009753983
drep155cz0w692c98wgf46zq4cz8sg9z8ycdat3qd39egygz6k2yawm6,yes,12792752231285
drep1g2qjfxcxj6ewx3aw0nqh2lfcaq0at3a2wcusxgjmgrnuzph6ddt,yes,276797194651
drep1ccxqz9g9udymkt23vch2akfukwupx0e9mwv7rw9de4prczd7hhn,no,20925580969849
drep1a8ydjrvsp4m6zhykan6pmvsz4lerxf2ynacwlvyus3rc5c2m46x,yes,38196920116
drep197uw8vcnn85whye0yqqes2tps773a3dcncgtqek05lh623md0ta,yes,1782411047601
drep1zzuasedw4v7ctfdfvrsmr6surqxh78fuakxvdnztu0y4xnc8cmk,yes,3985383855169
drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,yes,3584769471587
drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,yes,39595976069169
drep1c6d0mus0edhnugp9z9fd68f7f87w0ft07367duh48ga9sy2a9am,no,285710408852
drep1kwquh5nf00lfhxmxafd6y6pgc25fvm0d8xx2rtaymtpjgyjagzn,abstain,1458485704274
drep104534qle8pq34satg3xxr2vp67v9630wc67qfq0ly0vycfrx5l3,abstain,16225605323716
drep1k5unlp7snmuzkx3z7wwr0xtgc33sesuuf2aaxl0ramcazvulefk,yes,801207033958
drep1f8dqtkx6snn7wn7ygdsyxqx5q2x0kmak5je4jvpxmx36y5qvcup,no,232604872207
drep14m432q88dzhj96tfyzvhqk09agk8t05mxgqhqweada8tgagyglj,abstain,11650945465
drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,yes,114641080731279
drep1a2q7avv52f7ys6mnxvmwcaz4w6gsq60na3tn6ws0jc50gumz0h4,abstain,0
drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,yes,23370435259814
drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,yes,3294722919460
drep1fgj46n9vvfyxg3q0qlcm3a6tf0vvjv9wuhkvrtcm35c0vrtxfky,no,1210607571021
drep1q98g6p9f8jejgngle8e0jhakydu3zddf5u8x5c8hx8gfsvs0788,yes,1817504350287
drep1rdz8xlmpu5clw67fgjsn95ry7zzm74erv9dk5lg9z4c8k6fvrhm,yes,210258019998
drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,no,153759245264
drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,yes,130991940589965
drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,yes,189921504815
drep1zmymjy8xyzmxvxuz4mptxpam52exdq4chmwuqsesr2se57jz0v0,yes,50502443947
drep1at8ej9hllmfjms7c5j3xm579qrn7xcn95avesf4s2za22ukhurv,no,3840596448042
drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,yes,48113613204783
drep1s369jcyjh4nk7ekvrte9fa20sdg32ujdphp7av8xyz7u223jsa2,yes,5793348489291
drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,yes,79488429930
drep12zhz3cdfh9a898mpuftxztw4j45c26tnltz72gfr4f5tv7cd4lk,yes,5036438043586
drep1jdxaxuafcx4p4nk4qz4jt2jahds50aea9y0zx7yqrlduulw68zx,yes,1876163366076
drep1pk0t0dhcs3vv6juetycqn6fhgfr8h670atffmelw22llj7ksvpt,yes,43291034719839
drep1vhzjtaezsrc3f3llde8nyt9gcx6s3akmrl5hxg7xaqs9c379mvw,abstain,316613122353
drep17wflxwksrg9jg8q9xpdlm0jcaenqrgldq06de8ql2xzvzdxskhu,yes,16876689743
drep17h6rggykfz37srj63lkuah5rg9ed8tzwmwd2nqywl6u3yqvsasg,yes,33029373010106
drep1w34scjn42tdn5n30pflygwc4hk8htlwcpd9ldkyk4ftvu2dvfw8,no,59592230383
drep1hsy55c300sxskmq0vssqgp8uahwhcdnxxevzysmd7gzmcgzgzsu,yes,20632689882441
