drep,vote,amount
drep18y3ch9fuefgt8ne87k9sjedm2y3pey5lcyzhpqkq02vujxntnxn,yes,58319949326
drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,yes,63393453156916
drep1n0008pjgues7wd8ntj7jg00eqpsaa00jsvla3lxthgxl73z0650,yes,577542964667
drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln,yes,5609887160231
drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,yes,210986703137163
drep1vlx2m8ymj0eug8g9w0n869r3mtn5k66avkjce2w2qrzx6hx8jje,yes,78771486243574
drep160v90f47eeqscq9aglzh8qxv8plskgxjtj9qgplgsz0kwskskjs,yes,2132789975743
drep16v76d0z26a2wta75f4lt0mm9t6jq75ua67zqcz58vzk4jh5yuhc,yes,23002916897290
drep1na633358c3t7qzdgmva0pujndzqw5c74mmu3nn362lqe2538df4,yes,1576832215
drep1usknc6r4asjdcm99anyetfkxgcthtgz44cr9cdzgr5ydsf46axf,yes,48141298186051
drep18c6dw0e6z9lx65f22zrzgl0z49j48k39ttxqk4q6h953utzepy5,yes,23759751848808
drep1qpnr7qxyc89xhdjqt35ttscqyw5d33lk4jltq6mapfxjcazj8nj,yes,348584212180
drep_script1rxdd99vu338y659qfg8nmpemdyhlsmaudgv4m4zdz7m5vz8uzt6,yes,3945232693989
drep19we4mh7zaxqmyasqgpr7h7hcuq5m6dwpx99j4mrcd3e4ufxuc8n,yes,1848860437556
drep1etgpm75kxaxns4umz3q6wjxpq84a28gf6pktjf94nm26vuxrmnn,abstain,25179711108
drep1hqdzq9uvlcywrm8ukgyl8ql2erdvzargzdfr229qxpvzxp9g3v9,abstain,134492595846
drep1prc8w322tjej3t5mxuvmz9uxq5lp735z2jtvx5x3wdzeq2d0f3p,yes,0
drep1wgxemjt24eg22kpfpvdgy9hr5gnavx0ccglkvzd2rv86kfgu3y5,yes,422749923910
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2280363859632
drep1yeqgjtznp6w6w06aldmymccp9a9vzwsjh0dxljv2d5jqqjfhahy,yes,157972481301
drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,yes,55908805601204
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,968662039124
drep16yrdjg5my5mnfscnzfekjuawz609sqqdu8w7c4jth26yqkxf5l4,yes,595674314662
drep13ws3rjsec7yp858an0h73l4aeeekr77hwz3yd6suwmyr2fzlapq,yes,1250483322365
drep1sh842zeupjceky6qyxculqdss67lcy97mx7aqzl9e3k3sr6xlga,yes,724202215340
drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,yes,29304681884671
drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,yes,339201045742753
drep1c6d0mus0edhnugp9z9fd68f7f87w0ft07367duh48ga9sy2a9am,yes,822099060233
drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,yes,57784363694428
drep12wy5ruujw0tef4uxhqd23gae8dqfn0sqh4mxmsxnqpz578tn3m0,yes,13821105571034
drep1xtmh7kfj0rg48ec4wvgnvv8d754un5tt7s5h80ansg4pyjemrzv,yes,114994363918
drep1pjt0l9zzzargv6732zcmn6qmpm9galeskphum6klmdq32rzw5c3,yes,5586700147
