"pool_id","latest_op_cert_counter"
"pool1lsfkwuxjmzpeze3k86y282zwpcfkfhzznqraftx754r3xhu8qq3","0"
"pool1ltyxtkh37lfuh73ayulf8jdd742kmrqvx8rvt44r65c7q96xh08","1"
"pool1m5jwt72vxxanatdyrmt6pncpufg8ahc9cpd4xv4fv9rxsxxjxxn","0"
"pool1mc6h7qusu3fj4dtxhfw6y4ztp7fje2xze0khkv6tz8zcs99wsne","0"
"pool1mejhe7g48st7qjxlcy6ehd26cu5cfj6kg4l4m4ceee0uvrgua9s","0"
"pool1mfc42za8tj74zc66ez3slwtq4mumdl7yrylaxajd5xugujmhd0c","8"
"pool1mmqudp00tew0vvdwpftvxlt3asmx7udyxnhyyjy2xa4qv6zkp6n","0"
"pool1mtr3a3kcldd3yppkgxgewrtl5d5adu3zlzvl5988qu3rglwej0x","0"
"pool1mykwc7325c2wrur785z22wj6c0fust2ttf6pvt5rh6rtjf2pemg","0"
"pool1myvqymdmf9f26746d6uvfk34hqr7lq998n43xprgz4c27tpa6rd","3"
"pool1n42yg74c8jvevqurqf992ae9sy0cgt0gxs43wwc0eq07yncuaak","0"
"pool1n6tcrkjjn7dr70e4vjmtayswl2rne947fue7w2htthaq6men4yp","2"
"pool1n935yzlmu7528fx4qjf2gak0cdv2nune9cku730zg7vh707rnnd","7"
"pool1n9k208rvpadxq406hf85tav2frl4vfamf4mmcxchnk5uyq5cahl","0"
"pool1nhhew0xph9fafrwttevy49h42sfl8r87tq2jqtvmp6a5vr4dtce","1"
"pool1nhkfauluxw5xlwjz96arvfjtl4c92x2wxas6jvh8rr2s560d9vy","0"
"pool1nk3uj4fdd6d42tx26y537xaejd76u6xyrn0ql8sr4r9tullk84y","1"
"pool1nr79hdmx2skysyygdd4w8u08a4mxeuajzyhw4vkjkrkx23vh47t","2"
"pool1p0mrcmu9qn0x6nk4eunj0p8qy3tryv370a96u9su2l6jwkytnru","6"
"pool1p4kh4yt0vwh6yexf9ae36qfwnch7vqa7l77akh94pv4u6rq7tuk","0"
"pool1p73yrd7vzwkkjd2rff4g683smhlm3jkg45f2hwm79cke6uxxwq9","5"
"pool1p835jxsj8py5n34lrgk6fvpgpxxvh585qm8dzvp7ups37vdet5a","8"
"pool1p90428kec03mjdya3k4gv5d20w7lmed7ca0snknef5j977l3y8l","2"
"pool1p9mdcwgs26lz8ply9gwuhghe59rzjfxl50z9dqsagrge6nccgks","0"
"pool1p9xu88dzmpp5l8wmjd6f5xfs9z89mky6up86ty2wz4aavmm8f3m","11"
"pool1pn9sffcqqzkx70m0gujks4h3wf8p4y706t2f0cjcyreekg83wtf","10"
"pool1pt39c4va0aljcgn4jqru0jhtws9q5wj8u0xnajtkgk9g7lxlk2t","6"
"pool1pu2g8wxrm9gqxun5v6w9hpykdwc9e43ttmwrweaxt3z4uhps5re","2"
"pool1pw345epmct6cuummleuu5hc7qq2h96zawvf0e9062uw7gnjz9ej","2"
