"epoch","tx","tx-idx","committee-yes","committee-excl-abstain","DRep-yes","DRep-excl-abstain","SPO-yes","SPO-active","SPO-abstain","outcome"
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",32,0,0,2374491173648072,5309902812376001,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",33,0,0,1416592240922726,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",34,0,0,1378126587450605,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",35,0,0,1690565275664305,5290978737419088,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",36,0,0,1382616373038771,5328884766122842,0,21893641633435155,8806523783162277,""
572,"2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313",0,0,0,1561443886542471,5328884766122842,0,21893641633435155,8806523783162277,""
572,"9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b",0,0,0,1486234764333616,4635223770462583,50791095671012,21893641633435155,8806523783162277,""
572,"495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280",0,0,0,508147774436035,5279668672235627,0,21893641633435155,8806523783162277,""
573,"3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9",0,0,0,2663523821892350,5128043627805436,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",0,0,0,3208260697570991,5363105875798116,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",1,0,0,3014654982926852,5127471193870946,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",2,0,0,2989999753245263,5338282250071402,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",3,0,0,2108269639930724,5134636740989102,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",4,0,0,2347479306776075,5101533179655900,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",5,0,0,2255127455831505,5109813019894811,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",6,0,0,2172820107107020,5120159378305839,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",7,0,0,2950603375544582,5338678823627267,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",8,0,0,2340321879456595,5348416355647496,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",9,0,0,2280386153665290,5347796364825303,0,21902643146872253,9149251409452672,""
573,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",10,0,0,2221563825124499,5373055469918125,0,21902643146872253,9149251409452672,""
